tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
2010,T-51,North Korea,PRK,3,Group stage,Ji Yun-nam,1
2010,T-55,Paraguay,PRY,5,Quarter-finals,3 players tied,1
2010,T-58,Portugal,PRT,4,Round of 16,Tiago Mendes,2
2010,T-66,Serbia,SRB,3,Group stage,2 players tied,1
2010,T-68,Slovakia,SVK,4,Round of 16,Róbert Vittek,4
2010,T-69,Slovenia,SVN,3,Group stage,3 players tied,1
2010,T-70,South Africa,ZAF,3,Group stage,3 players tied,1
2010,T-71,South Korea,KOR,4,Round of 16,Lee Chung-yong,2
2010,T-73,Spain,ESP,7,Champion,David Villa,5
2010,T-75,Switzerland,CHE,3,Group stage,Gelson Fernandes,1
2010,T-83,United States,USA,4,Round of 16,Landon Donovan,3
2010,T-84,Uruguay,URY,7,Semi-finals,Diego Forlán,5
2014,T-01,Algeria,DZA,4,Round of 16,2 players tied,2
2014,T-03,Argentina,ARG,7,Runner-up,Lionel Messi,4
2014,T-04,Australia,AUS,3,Group stage,Tim Cahill,2
2014,T-06,Belgium,BEL,5,Quarter-finals,6 players tied,1
2014,T-08,Bosnia and Herzegovina,BIH,3,Group stage,4 players tied,1
2014,T-09,Brazil,BRA,7,Semi-finals,Neymar,4
2014,T-11,Cameroon,CMR,3,Group stage,Joël Matip,1
2014,T-13,Chile,CHL,4,Round of 16,Alexis Sánchez,2
2014,T-16,Colombia,COL,5,Quarter-finals,James Rodríguez,6
2014,T-17,Costa Rica,CRI,5,Quarter-finals,Bryan Ruiz,2
2014,T-18,Croatia,HRV,3,Group stage,2 players tied,2
2014,T-25,Ecuador,ECU,3,Group stage,Enner Valencia,3
2014,T-28,England,ENG,3,Group stage,2 players tied,1
2014,T-30,France,FRA,5,Quarter-finals,Karim Benzema,3
2014,T-31,Germany,DEU,7,Champion,Thomas Müller,5
2014,T-32,Ghana,GHA,3,Group stage,2 players tied,2
2014,T-33,Greece,GRC,4,Round of 16,3 players tied,1
2014,T-35,Honduras,HND,3,Group stage,Carlo Costly,1
2014,T-38,Iran,IRN,3,Group stage,Reza Ghoochannejhad,1
