tournament_year,team_id,team_name,team_code,count_matches,performance
2002,T-55,Paraguay,PRY,4,round of 16
2002,T-57,Poland,POL,3,group stage
2002,T-58,Portugal,PRT,3,group stage
2002,T-60,Republic of Ireland,IRL,4,round of 16
2002,T-62,Russia,RUS,3,group stage
2002,T-63,Saudi Arabia,SAU,3,group stage
2002,T-65,Senegal,SEN,5,quarter-finals
2002,T-69,Slovenia,SVN,3,group stage
2002,T-70,South Africa,ZAF,3,group stage
2002,T-71,South Korea,KOR,7,third-place match
2002,T-73,Spain,ESP,5,quarter-finals
2002,T-74,Sweden,SWE,4,round of 16
2002,T-79,Tunisia,TUN,3,group stage
2002,T-80,Turkey,TUR,7,third-place match
2002,T-83,United States,USA,5,quarter-finals
2002,T-84,Uruguay,URY,3,group stage
2006,T-02,Angola,AGO,3,group stage
2006,T-03,Argentina,ARG,5,quarter-finals
2006,T-04,Australia,AUS,4,round of 16
2006,T-09,Brazil,BRA,5,quarter-finals
2006,T-17,Costa Rica,CRI,3,group stage
2006,T-18,Croatia,HRV,3,group stage
2006,T-20,Czech Republic,CZE,3,group stage
2006,T-25,Ecuador,ECU,4,round of 16
2006,T-28,England,ENG,5,quarter-finals
2006,T-30,France,FRA,7,final
2006,T-31,Germany,DEU,7,third-place match
2006,T-32,Ghana,GHA,4,round of 16
2006,T-38,Iran,IRN,3,group stage
2006,T-41,Italy,ITA,7,final
2006,T-42,Ivory Coast,CIV,3,group stage
2006,T-44,Japan,JPN,3,group stage
2006,T-46,Mexico,MEX,4,round of 16
2006,T-48,Netherlands,NLD,4,round of 16
2006,T-55,Paraguay,PRY,3,group stage
2006,T-57,Poland,POL,3,group stage
2006,T-58,Portugal,PRT,7,third-place match
2006,T-63,Saudi Arabia,SAU,3,group stage
2006,T-67,Serbia and Montenegro,SCG,3,group stage
2006,T-71,South Korea,KOR,3,group stage
2006,T-73,Spain,ESP,4,round of 16
2006,T-74,Sweden,SWE,4,round of 16
2006,T-75,Switzerland,CHE,4,round of 16
2006,T-77,Togo,TGO,3,group stage
2006,T-78,Trinidad and Tobago,TTO,3,group stage
2006,T-79,Tunisia,TUN,3,group stage
2006,T-81,Ukraine,UKR,5,quarter-finals
2006,T-83,United States,USA,3,group stage
2010,T-01,Algeria,DZA,3,group stage
2010,T-03,Argentina,ARG,5,quarter-finals
2010,T-04,Australia,AUS,3,group stage
2010,T-09,Brazil,BRA,5,quarter-finals
2010,T-11,Cameroon,CMR,3,group stage
2010,T-13,Chile,CHL,4,round of 16
2010,T-22,Denmark,DNK,3,group stage
2010,T-28,England,ENG,4,round of 16
2010,T-30,France,FRA,3,group stage
2010,T-31,Germany,DEU,7,third-place match
2010,T-32,Ghana,GHA,5,quarter-finals
2010,T-33,Greece,GRC,3,group stage
2010,T-35,Honduras,HND,3,group stage
